"title","release_period","whether_remake","whether_franchise","genre","new_actor","new_director","new_music_director","lead_star","director","music_director","number_of_screens","revenue_inr","budget_inr","writers.x","sequel.x","hit_flop.x","date","month","year","writers.y","sequel.y","hit_flop.y","era"
"heartless","normal","no","no","thriller","no","yes","no","adhyayan suman","shekhar suman","gaurav dagaonkar",400,110000000,11800000,"nina arora (screenplay) | niranjan iyengar (dialogue) | arafat mehmood (lyrics) | seema saini (lyrics) | shekhar suman (lyrics) | shekhar suman (story)",0,1,"07","feb","2014","nina arora (screenplay) | niranjan iyengar (dialogue) | arafat mehmood (lyrics) | seema saini (lyrics) | shekhar suman (lyrics) | shekhar suman (story)","0",1,"new"
"zed plus","normal","no","no","drama","no","no","no","adil hussain","chandraprakash dwivedi","sukhwinder singh",350,55000000,7700000,"chandra prakash dwivedi (screen play and dialogue by) | ramkumar singh (screen play and dialogue by) | ramkumar singh (story)",0,1,"28","nov","2014","chandra prakash dwivedi (screen play and dialogue by) | ramkumar singh (screen play and dialogue by) | ramkumar singh (story)","0",1,"new"
"bandook","holiday","no","no","drama","no","no","yes","aditya om","aditya om","nikhil kamath",250,45000000,2100000,NA,0,1,"18","jan","2013",NA,"0",1,"new"
"aashiqui 2","normal","yes","no","love_story","no","no","no","aditya roy kapoor","mohit suri","mithoon",1150,150000000,1093800000,"shagufta rafique",1,8,"26","apr","2013","shagufta rafique","1",8,"new"
"yeh jo mohabbat hai","normal","no","no","love_story","yes","yes","no","aditya samanta","shree narayan singh","anu malik",125,80000000,2934688,"dilip shukla",0,1,"03","aug","2012","dilip shukla","0",1,"new"
"bin bulaye baraati","normal","no","no","comedy","no","no","no","aftab shivdasani","chandrakant singh","anand raj anand",500,100000000,32400000,"praful parekh (screenplay) | praful parekh (story) | salim sheikh (screenplay) | salim sheikh (story) | dilip shukla (dialogue)",0,1,"17","jun","2011","praful parekh (screenplay) | praful parekh (story) | salim sheikh (screenplay) | salim sheikh (story) | dilip shukla (dialogue)","0",1,"new"
"aao wish karein","normal","no","no","drama","no","no","yes","aftab shivdasani","glen barreto","ankur tewari",70,57500000,1700000,"glen barreto (additional screenplay) | ravinder manga (dialogue) | ravinder manga (story) | aftab shivdasani (story)",0,1,"13","nov","2009","glen barreto (additional screenplay) | ravinder manga (dialogue) | ravinder manga (story) | aftab shivdasani (story)","0",1,"old"
"darwaza bandh rakho","normal","no","no","comedy","no","no","no","aftab shivdasani","j.d. chakravarthi","nitin raikwar",175,37500000,23200000,"j.d. chakravarthi (screenplay) | snehal dabi (dialogue) | musharaff ali khan (story) | nitin raikwar (lyrics)",0,1,"04","aug","2006","j.d. chakravarthi (screenplay) | snehal dabi (dialogue) | musharaff ali khan (story) | nitin raikwar (lyrics)","0",1,"old"
"aloo chaat","normal","no","no","comedy","no","no","yes","aftab shivdasani","robby grewal","rdb",400,100000000,74680000,"robby grewal (screenplay) | syed gulrez (lyrics) | vipin mishra (lyrics) | divy nidhi sharma (story) | xulfi (lyrics)",0,2,"20","mar","2009","robby grewal (screenplay) | syed gulrez (lyrics) | vipin mishra (lyrics) | divy nidhi sharma (story) | xulfi (lyrics)","0",2,"old"
"ankahee","normal","no","no","thriller","no","no","no","aftab shivdasani","vikram bhatt","pritam",125,60000000,17630000,"vikram bhatt (screenplay) | vikram bhatt | girish dhamija (dialogue) | vinay (screenplay) | yash (screenplay)",0,1,"19","may","2006","vikram bhatt (screenplay) | vikram bhatt | girish dhamija (dialogue) | vinay (screenplay) | yash (screenplay)","0",1,"old"
"my friend ganesha","normal","no","no","drama","no","no","yes","ahsaas channa","rajiv s. ruia","nirmal - shekhar",100,22500000,15900000,"rajiv s. ruia (story) | s. sachinder",0,2,"06","jul","2007","rajiv s. ruia (story) | s. sachinder","0",2,"old"
"umrao jaan","holiday","yes","no","drama","no","no","no","aishwarya rai","j.p. dutta","anu malik",500,230000000,195250000,"j.p. dutta (screenplay) | o.p. dutta (story) | mirza muhammad hadi ruswa (novel)",0,1,"03","nov","2006","j.p. dutta (screenplay) | o.p. dutta (story) | mirza muhammad hadi ruswa (novel)","0",1,"old"
"u me aur hum","holiday","no","no","love_story","no","yes","no","ajay devgn","ajay devgn","vishal bhardwaj",600,250000000,400200000,"robin bhatt (screenplay) | ajay devgn (story) | ashwani dhir (dialogue) | sutanu gupta (screenplay) | akarsh khurana (screenplay)",0,2,"11","apr","2008","robin bhatt (screenplay) | ajay devgn (story) | ashwani dhir (dialogue) | sutanu gupta (screenplay) | akarsh khurana (screenplay)","0",2,"old"
"blackmail","normal","no","no","thriller","no","no","no","ajay devgn","anil devgan","himesh reshammiya",325,95000000,65872500,"robin bhatt (story) | javed siddiqui (dialogue)",0,1,"28","jan","2005","robin bhatt (story) | javed siddiqui (dialogue)","0",1,"old"
"cash","normal","no","no","thriller","no","no","no","ajay devgn","anubhav sinha","vishal - shekhar",1000,320000000,293005000,"vishal dadlani (lyrics) | panchhi jalonvi (lyrics) | anubhav sinha (dialogues) | vinay (story) | yash (story)",0,2,"03","aug","2007","vishal dadlani (lyrics) | panchhi jalonvi (lyrics) | anubhav sinha (dialogues) | vinay (story) | yash (story)","0",2,"old"
"atithi tum kab jaoge?","normal","no","no","comedy","no","no","no","ajay devgn","ashwini dhir","pritam",1050,220000000,433110000,"robin bhatt (screenplay) | ashwani dhir | tushar hiranandani (screenplay) | amit mishra (lyrics)",0,4,"05","mar","2010","robin bhatt (screenplay) | ashwani dhir | tushar hiranandani (screenplay) | amit mishra (lyrics)","0",4,"new"
"son of sardaar","holiday","yes","no","masala","no","no","no","ajay devgn","ashwini dhir","himesh reshammiya",2000,670000000,1351247500,"robin bhatt (screenplay) | ashwani dhir (screenplay) | ashwani dhir",0,6,"13","nov","2012","robin bhatt (screenplay) | ashwani dhir (screenplay) | ashwani dhir","0",6,"new"
"rascals","holiday","no","no","comedy","no","no","no","ajay devgn","david dhawan","vishal - shekhar",1850,460000000,510181250,"sanjay chhel (screenplay) | yunus sajawal (dialogue)",0,2,"06","oct","2011","sanjay chhel (screenplay) | yunus sajawal (dialogue)","0",2,"new"
"main aisa hi hoon","holiday","no","no","drama","no","no","no","ajay devgn","harry baweja","himesh reshammiya",250,75000000,51775000,"harry baweja (story) | bhavani iyer (screenplay) | anurag kashyap (dialogue)",0,1,"06","may","2005","harry baweja (story) | bhavani iyer (screenplay) | anurag kashyap (dialogue)","0",1,"old"
"shikhar","holiday","no","no","drama","no","no","no","ajay devgn","john m. matthan","viju shah",350,140000000,103450000,"dr. bodhisattva (dialogue) | manohar iyer (lyrics) | john mathew matthan (screenplay) | chandrashekhar rajit (lyrics) | sameer (lyrics) | anita sarkar (lyrics) | c.k. raajaa chandra sekar (lyrics) | viju shah (lyrics) | mani shankar (lyrics) | sudhakar sharma (lyrics) | abbas tyrewala (screenplay)",0,2,"30","dec","2005","dr. bodhisattva (dialogue) | manohar iyer (lyrics) | john mathew matthan (screenplay) | chandrashekhar rajit (lyrics) | sameer (lyrics) | anita sarkar (lyrics) | c.k. raajaa chandra sekar (lyrics) | viju shah (lyrics) | mani shankar (lyrics) | sudhakar sharma (lyrics) | abbas tyrewala (screenplay)","0",2,"old"
"insan","holiday","no","no","action","no","no","no","ajay devgn","k. subhash","himesh reshammiya",350,125000000,104100000,"naeem-ejaz (dialogue)",0,1,"14","jan","2005","naeem-ejaz (dialogue)","0",1,"old"
"toonpur ka superrhero","holiday","no","no","fantasy","no","yes","no","ajay devgn","kireet khurana","anu malik",500,250000000,51046250,"raagi bhatnagar (story) | bhimsain (story) | munna dhiman (lyrics) | mubeen farooqi (dialogue) | kireet khurana (screenplay) | kumaar (lyrics)",0,1,"24","dec","2010","raagi bhatnagar (story) | bhimsain (story) | munna dhiman (lyrics) | mubeen farooqi (dialogue) | kireet khurana (screenplay) | kumaar (lyrics)","0",1,"new"
"dil toh baccha hai ji","normal","no","no","comedy","no","no","no","ajay devgn","madhur bhandarkar","pritam",1350,290000000,404600000,"madhur bhandarkar (story) | sanjay chhel (dialogue) | kumaar (lyrics) | neelesh misra (lyrics) | anil pandey (story) | sayeed qadri (lyrics) | neeraj udhwani (screenplay) | neeraj udhwani (story)",0,2,"27","jan","2011","madhur bhandarkar (story) | sanjay chhel (dialogue) | kumaar (lyrics) | neelesh misra (lyrics) | anil pandey (story) | sayeed qadri (lyrics) | neeraj udhwani (screenplay) | neeraj udhwani (story)","0",2,"new"
"tango charlie","holiday","no","no","action","no","no","no","ajay devgn","mani shankar","anu malik",325,135000000,114856250,"mani shankar (dialogue) | mani shankar (screenplay)",0,1,"25","mar","2005","mani shankar (dialogue) | mani shankar (screenplay)","0",1,"old"
"action jackson","normal","no","no","action","no","no","no","ajay devgn","prabhu deva","himesh reshammiya",3350,930000000,888717500,"a.c. mughil | prabhudheva | shiraz ahmed (dialogue)",0,2,"05","dec","2014","a.c. mughil | prabhudheva | shiraz ahmed (dialogue)","0",2,"new"
"apaharan","normal","no","no","action","no","no","no","ajay devgn","prakash jha","aadesh shrivastava",425,110000000,231650000,"prakash jha (dialogue) | prakash jha (screenplay) | prakash jha (story) | shridhar raghavan (screenplay) | anjum rajabali (script consultant) | manoj tyagi (screenplay)",0,5,"02","dec","2005","prakash jha (dialogue) | prakash jha (screenplay) | prakash jha (story) | shridhar raghavan (screenplay) | anjum rajabali (script consultant) | manoj tyagi (screenplay)","0",5,"old"
"satyagraha","normal","no","no","drama","no","no","no","ajay devgn","prakash jha","salim - sulaiman",2650,730000000,910075000,"prakash jha | anjum rajabali",0,2,"30","aug","2013","prakash jha | anjum rajabali","0",2,"new"
"aakrosh","holiday","no","no","thriller","no","no","no","ajay devgn","priyadarshan","pritam",1200,380000000,194030000,"robin bhatt (story) | aditya dhar (dialogues) | irshad kamil (lyrics) | akash khurana (story)",0,1,"15","oct","2010","robin bhatt (story) | aditya dhar (dialogues) | irshad kamil (lyrics) | akash khurana (story)","0",1,"new"
"tezz","normal","yes","no","thriller","no","no","no","ajay devgn","priyadarshan","sajid - wajid",1950,520000000,261237500,"robin bhatt | aditya dhar (dialogue writer)",0,1,"26","apr","2012","robin bhatt | aditya dhar (dialogue writer)","0",1,"new"
"halla bol","normal","no","no","drama","no","no","no","ajay devgn","rajkumar santoshi","sukhwinder singh",925,270000000,193900000,"ranjit kapoor (dialogues) | dushyant kumar (lyrics) | sameer (lyrics) | rajkumar santoshi (dialogues) | rajkumar santoshi (story)",0,2,"11","jan","2008","ranjit kapoor (dialogues) | dushyant kumar (lyrics) | sameer (lyrics) | rajkumar santoshi (dialogues) | rajkumar santoshi (story)","0",2,"old"
"sunday","holiday","yes","no","comedy","no","no","no","ajay devgn","rohit shetty","raghav sachar",900,220000000,319615000,"robin bhatt (screenplay) | robin bhatt (story) | tushar hiranandani (screenplay) | sajid (dialogue) | k. subhash (screenplay)",0,2,"25","jan","2008","robin bhatt (screenplay) | robin bhatt (story) | tushar hiranandani (screenplay) | sajid (dialogue) | k. subhash (screenplay)","0",2,"old"
"golmaal returns","holiday","no","yes","comedy","no","no","yes","ajay devgn","rohit shetty","ashish pandit",1250,350000000,800080000,"indie (lyrics) | rumi jaffery | ashiesh pandit (lyrics) | yunus sajawal (screenplay) | sameer (lyrics) | neeraj shridhar (lyrics) | neeraj vora (dialogue)",1,6,"29","oct","2008","indie (lyrics) | rumi jaffery | ashiesh pandit (lyrics) | yunus sajawal (screenplay) | sameer (lyrics) | neeraj shridhar (lyrics) | neeraj vora (dialogue)","1",6,"old"
"golmaal 3","holiday","no","yes","comedy","no","no","no","ajay devgn","rohit shetty","pritam",1750,500000000,1695635000,"robin bhatt (script consultant) | farhad (dialogue) | bunty rathore (additional dialogue) | yunus sajawal (screenplay) | sajid (dialogue)",1,8,"05","nov","2010","robin bhatt (script consultant) | farhad (dialogue) | bunty rathore (additional dialogue) | yunus sajawal (screenplay) | sajid (dialogue)","1",8,"new"
"singham","normal","yes","no","action","no","no","no","ajay devgn","rohit shetty","ajay - atul",2050,410000000,1413035000,"farhad | farhad | hari (original story) | yunus sajawal (screenplay) | sajid (dialogue)",0,7,"22","jul","2011","farhad | farhad | hari (original story) | yunus sajawal (screenplay) | sajid (dialogue)","0",7,"new"
"bol bachchan","normal","no","no","comedy","no","no","no","ajay devgn","rohit shetty","ajay - atul",2500,660000000,1596640000,"farhad (dialogue) | yunus sajawal (screenplay) | sajid (dialogue)",0,6,"06","jul","2012","farhad (dialogue) | yunus sajawal (screenplay) | sajid (dialogue)","0",6,"new"
"singham returns","holiday","no","yes","action","no","no","no","ajay devgn","rohit shetty","honey singh",3500,1050000000,2165697500,"rohit shetty (story) | yunus sajawal (screenplay) | farhad (dialogue) | sajid (dialogue)",1,7,"15","aug","2014","rohit shetty (story) | yunus sajawal (screenplay) | farhad (dialogue) | sajid (dialogue)","1",7,"new"
"himmatwala","holiday","yes","no","masala","no","no","no","ajay devgn","sajid khan","sajid - wajid",3150,680000000,657993750,"k. raghavendra rao (original story) | sajid khan (story) | sajid khan (screenplay) | farhad (screenplay) | sajid (screenplay)",0,2,"29","mar","2013","k. raghavendra rao (original story) | sajid khan (story) | sajid khan (screenplay) | farhad (screenplay) | sajid (screenplay)","0",2,"new"
"kaal","holiday","no","no","thriller","no","yes","no","ajay devgn","soham shah","salim - sulaiman",450,130000000,331175000,"soham shah (dialogue) | soham shah (screenplay) | soham shah (story)",0,4,"29","apr","2005","soham shah (dialogue) | soham shah (screenplay) | soham shah (story)","0",4,"old"
"omkara","normal","no","no","drama","no","no","no","ajay devgn","vishal bhardwaj","vishal bhardwaj",625,260000000,424120000,"vishal bhardwaj (screenplay) | robin bhatt (screenplay) | abhishek chaubey (screenplay) | vishal bhardwaj (dialogue) | william shakespeare (play)",0,2,"28","jul","2006","vishal bhardwaj (screenplay) | robin bhatt (screenplay) | abhishek chaubey (screenplay) | vishal bhardwaj (dialogue) | william shakespeare (play)","0",2,"old"
"angry young man","normal","no","no","action","yes","yes","no","ajay sinh rathod","ramesh rout","amjad - nadeem",300,47500000,2325000,NA,0,1,"11","apr","2014",NA,"0",1,"new"
"lakeer ka fakeer","normal","no","no","drama","no","yes","yes","ajaz khan","zubair khan","dilshad",60,12500000,2175000,NA,0,1,"14","jun","2013",NA,"0",1,"new"
"bloody isshq","normal","no","no","thriller","yes","no","yes","akash","arup dutta","ashok bhadra",250,55000000,5000000,"aroti bhattacharya",0,1,"01","mar","2013","aroti bhattacharya","0",1,"new"
"the shaukeens","normal","yes","no","comedy","no","no","no","akshay kumar","abhishek sharma","honey singh",1800,410000000,272025000,"sai kabir | tigmanshu dhulia (dialogue) | tigmanshu dhulia (screenplay) | tigmanshu dhulia (story)",0,2,"07","nov","2014","sai kabir | tigmanshu dhulia (dialogue) | tigmanshu dhulia (screenplay) | tigmanshu dhulia (story)","0",2,"new"
"welcome","holiday","no","no","comedy","no","no","no","akshay kumar","anees bazmee","sajid - wajid",1250,480000000,1194975000,"anees bazmee | rajeev kaul",0,7,"21","dec","2007","anees bazmee | rajeev kaul","0",7,"old"
"singh is kinng","normal","no","no","masala","no","no","no","akshay kumar","anees bazmee","pritam",1400,500000000,1239675000,"anees bazmee (writer & dialogue) | vipul binjola (dialogue) | suresh nair | rishi virmani (dialogue)",0,7,"08","aug","2008","anees bazmee (writer & dialogue) | vipul binjola (dialogue) | suresh nair | rishi virmani (dialogue)","0",7,"old"
"thank you","normal","no","no","comedy","no","no","no","akshay kumar","anees bazmee","pritam",1800,610000000,710232500,"ikram akhtar (screen play) | nisar akhtar | anees bazmee | amitabh bhattacharya (lyrics) | kumaar (lyrics) | ashiesh pandit (lyrics)",0,2,"08","apr","2011","ikram akhtar (screen play) | nisar akhtar | anees bazmee | amitabh bhattacharya (lyrics) | kumaar (lyrics) | ashiesh pandit (lyrics)","0",2,"new"
"blue","holiday","no","no","action","no","yes","no","akshay kumar","anthony d'souza","a.r. rehman",1500,800000000,639212500,"anthony d'souza | mayur puri (dialogue)",0,2,"16","oct","2009","anthony d'souza | mayur puri (dialogue)","0",2,"old"
"boss","holiday","no","no","action","no","no","no","akshay kumar","anthony d'souza","meet bros",2800,700000000,848280000,"siby k. thomas (original story) | udaykrishnan (original story) | farhad | sajid",0,2,"16","oct","2013","siby k. thomas (original story) | udaykrishnan (original story) | farhad | sajid","0",2,"new"
"khiladi 786","normal","no","yes","comedy","no","yes","no","akshay kumar","ashish r. mohan","himesh reshammiya",2750,630000000,970540000,"kushal bakshi (screenplay) | bunty rathore (dialogue) | himesh reshammiya (story)",0,4,"07","dec","2012","kushal bakshi (screenplay) | bunty rathore (dialogue) | himesh reshammiya (story)","0",4,"new"
"bewafaa","normal","no","no","love_story","no","no","no","akshay kumar","dharmesh darshan","nadeem - shravan",450,180000000,331830000,"dharmesh darshan",0,3,"25","feb","2005","dharmesh darshan","0",3,"old"
"tees maar khan","holiday","no","no","comedy","no","no","no","akshay kumar","farah khan","vishal - shekhar",2200,450000000,995145000,"vishal dadlani (lyrics) | anvita dutt guptan (lyrics) | ashmith kunder (screenplay) | shirish kunder (dialogue) | shirish kunder (screenplay) | shirish kunder (story)",0,5,"24","dec","2010","vishal dadlani (lyrics) | anvita dutt guptan (lyrics) | ashmith kunder (screenplay) | shirish kunder (dialogue) | shirish kunder (screenplay) | shirish kunder (story)","0",5,"new"
"entertainment","holiday","no","no","comedy","no","yes","no","akshay kumar","farhad - sajid","sachin - jigar",2850,810000000,1033030000,"farhad (screenplay) | sajid (screenplay) | k. subhash (story)",0,2,"08","aug","2014","farhad (screenplay) | sajid (screenplay) | k. subhash (story)","0",2,"new"
